Translation,word
пальто,coat
куртка,jacket
шарф,scarf
перчатки,gloves
туфли,shoes
кроссовки,trainers
ботинки,boots
костюм,suit
шляпа,hat
носки,socks
футболка,T-shirt
часы,watch
рубашка,shirt
платье,dress
кольцо,ring
ремень,belt
юбка,skirt
галстук,tie
свитер,sweater
брюки,trousers
джинсы,jeans
шорты,shorts
колготки,tights
очки,glasses
пижама,pyjamas
солнечные очки,sunglasses
