Translation,word,plural
волосы,hair
глаз,eye
нос,nose
"зуб, зубы",tooth,teeth
ухо,ear
губа,lip
шея,neck
рот,mouth
нога,leg
колено,knee
"ступня, ступни",foot,feet
"маленький палец на ноге",toe
плечо,shoulder
ноготь,nail
"большой палец руки",thumb
палец,finger
запястье,hand
предплечье,arm
грудь,chest
бок,side
живот,stomach
спина,back
поясница,waist
"бедро, таз",hip
сердце,heart
мозг,brain
кровь,blood


