Translation,word,plural
счастливый,happy,
грустный,sad,
сердитый,angry,
огорченный,upset,
холодный,cold,
горячий,hot,
жаждущий,thirsty,
голодный,hungry,
хорошо,well,
больной,ill,
усталый,tired,
удивлённый,surprised,
